author_name,instances_of_study,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards
"Musker, John",1,1953,M,Irish,White,United States,Native,3,N/A,United States,IL,Chicago,Undergraduate,Graduate,Y,California Institute of the Arts,N,N/A,"Annie Award, Art Directors Guild William Cameron Menzies Award, Los Angeles Film Critics Association Award"
Nagahara Shōson,1,1900,M,Japanese,Asian,Japan,Foreign,1,1918,"Japan, United States","WA, CA","Seattle, Los Angeles",,,,,,,
"Nair, Meera",2,,F,Indian,Asian,India,Foreign,1,1997,"India, United States",NY,New York City,Graduate,Master's,Y,"Temple University, New York University",Y,"New York University, Brooklyn College",
"Nair, Mira",3,1957,F,Indian,Asian,India,Foreign,1,,"India, United States","MA, NY",Bhubeneswar,Undergraduate,Bachelor's,N,Harvard University,Y,Columbia University,
"Nakadate, Laurel",2,1975,F,African American-Euro American-Japanese,Multiracial Asian-Black-White,United States,Native,4,N/A,United States,"IA, MA, NY","Boston, New York City",Graduate,Master's,Y,Yale University,Y,Tufts University,
"Nakamura, Tadashi",1,,M,Japanese,Asian,,,,,United States,,,Graduate,Master's,N,University of California Santa Cruz,Y,University of California Los Angeles,Sundance Institute Asian American Fellow
"Nakasako, Spencer",2,,M,,,,,,,,,,,,,,Y,,Emmy Award
"Nakashima, Sho",1,,NB,Japanese-Korean,Asian,,,,,United States,,,,,,,,,
"Nakata, Hideo",1,1961,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,,Undergraduate,Bachelor's,N,University of Tokyo,N,N/A,
"Nakazawa, Keiji",1,1939,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,,No High School,None,N,N/A,N,N/A,
"Namioka, Lensey",1,1929,F,Chinese,Asian,China,Foreign,1.5,,"China, United States","MA, WA",,Graduate,Master's,N,University of California Berkeley,N,N/A,
"Naqvi, Tahira",1,1945,F,Pakistani,Asian,India (British colony),Foreign,1,1971,"Pakistan, United States",NY,,Graduate,Master's,N,Government College,Y,,
"Naylor, Gloria",1,1950,F,African American,Black,United States,Native,,N/A,United States,NY,,Graduate,Master's,N,Yale University,Y,"New York University, University of Pennsylvania","Guggenheim Fellowship, National Endowment for the Arts Fellowship"
"New, Ilhan",1,1895,M,Korean,Asian,Korea,Foreign,1.5,1904,"Korea, United States","NE, MI",Detroit,Undergraduate,Bachelor's,N,University of Michigan,N,N/A,
"Nezhukumatathil, Aimee",1,1974,F,Filipinx-Indian,Asian,United States,Native,,N/A,United States,"IL, MS",Chicago,Graduate,Master's,Y,Ohio State University,Y,,"Pushcart Prize, National Endowment for the Arts Fellowship"
"Ng, Celeste",1,1980,F,Chinese,Asian,United States,Native,2,N/A,United States,"PA, OH, MA",Pittsburgh,Graduate,Master's,Y,University of Michigan,,,"Pushcart Prize, National Endowment for the Arts Fellowship, Guggenheim Fellowship"
"Ng, Fae Myenne",12,1956,F,Chinese,Asian,United States,Native,2,N/A,United States,"CA, NY",,Graduate,Master's,Y,Columbia University,Y,"University of California Berkeley, University of California Los Angeles","National Endowment for the Arts Fellowship, Guggenheim Fellowship"
"Ng, Mei",3,1967,F,Chinese,Asian,United States,Native,2,N/A,,,,Graduate,Master's,Y,Brooklyn College,N,N/A,
"Nga, Tran Thi",1,1927,F,Vietnamese,Asian,China,Foreign,1,1975,"China, Vietnam, United States",CT,,,,,,N,N/A,
"Nguyen, Bich Minh",4,1974,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,,"South Vietnam, United States",MI,Grand Rapids,Graduate,Master's,Y,University of Michigan,Y,"University of Wisconsin Madison, University of San Francisco",Guggenheim Fellowship
"Nguyễn, Charlie",1,,M,Vietnamese,Asian,,,,,,,,,,,,,,
"Nguyen, Du",1,1766,M,Vietnamese,Asian,Vietnam,N/A,N/A,N/A,Vietnam,,,,,N,N/A,N,N/A,
"Nguyen, Hai Dai",1,,,,,,,,,,,,,,,,,,
"Nguyen, Kien",2,1967,M,Vietnamese,Asian,South Vietnam,Foreign,1,1985,United States,CA,,Graduate,Dental Degree,N,,N,N/A,
"Nguyen, Tan Hoang",4,1971,M,Vietnamese,Asian,South Vietnam,Foreign,,,,,,Graduate,PhD,Y,University of California Berkeley,Y,University of California San Diego,
"Nguyen, Viet Thanh",1,,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,1975,"South Vietnam, United States","PA, CA",San Jose,Graduate,PhD,N,University of California Berkeley,Y,University of Southern California,"Guggenheim Fellowship, MacArthur Fellowship, American Academy of Arts and Letters Award, and more"
"Nieh, Hualing",5,1925,F,Chinese,Asian,China,Foreign,1,1964,"China, Taiwan, United States",IA,,Graduate,Master's,Y,University of Iowa,Y,University of Iowa,
"Noguchi, Isamu",1,1904,M,Euro American-Japanese,Multiracial Asian-White,United States,Native,2,N/A,"Japan, United States","CA, NY",,High School,High School Diploma,N,N/A,N,N/A,"Guggenheim Fellowship, National Medal of Arts"
"Noguchi, Yone",3,1875,M,Japanese,Asian,Japan,Foreign,1,1893,"Japan, United States","CA, NY",,Some Undergraduate,High School Diploma,N,,N,N/A,
"Nunez, Sigrid",4,,F,Chinese-German-Panamanian,Multiracial Asian-Latinx-White,United States,Native,,N/A,United States,NY,New York City,Graduate,Master's,Y,Columbia University,Y,"Columbia University, Princeton University, Boston University, and more","Whiting Award, Rome Prize, Berlin Prize, and more"
"Nye, Naomi Shihab",1,1952,F,Palestinian,MENA,United States,Native,,N/A,"Israel, United States",TX,,Undergraduate,Bachelor's,N,Trinity University,N,N/A,"Guggenheim Fellowship, Lannan Fellowship"
"O'Neill, Eugene",2,1888,M,Irish,White,United States,Native,,N/A,United States,NY,New York City,Some Undergraduate,,N,,N,N/A,Nobel Prize
"Obejas, Achy",1,1956,F,Cuban,Latinx,Cuba,Foreign,1.5,,,,,Graduate,Master's,Y,Warren Wilson College,Y,Mills College,USA Fellowship
"Ohama, Linda",1,,F,Japanese,Asian,Canada,Foreign,N/A,N/A,"Canada, Japan",N/A,Vancouver,,,,,N,N/A,"Leo Award Best Director, Leo Award Best Writer of Documentary"
"Okada, John",14,1923,M,Japanese,Asian,United States,Native,2,N/A,United States,WA,Seattle,Graduate,Master's,N,Columbia University,N,N/A,
"Okazaki, Steven",3,1952,M,Japanese,Asian,United States,Native,3,N/A,United States,CA,,Undergraduate,Bachelor's,N,San Francisco State University,N,N/A,
"Okimoto, Daniel I.",2,1942,M,Japanese,Asian,United States,Native,,N/A,"Japan, United States","AZ, CA",,Graduate,PhD,N,University of Michigan,Y,Stanford University,
"Okita, Dwight",1,1958,M,Japanese,Asian,United States,Native,3,N/A,United States,IL,Chicago,Undergraduate,Bachelor's,N,"University of Illinois, Chicago",N,N/A,
"Okubo, Miné",12,1912,F,Japanese,Asian,United States,Native,,N/A,United States,"CA, NY",New York City,Graduate,Master's,Y,University of California Berkeley,N,N/A,
"Ondaatje, Michael",1,1943,M,Dutch-Sinhalese (from Sri Lanka)-Tamil (from Sri Lanka),Multiracial Asian-White,Ceylon (British colony) (present-day Sri Lanka),N/A,N/A,N/A,"Ceylon (present-day Sri Lanka), England, Canada",,Montreal,Graduate,Master's,N,Queen's University,Y,,Booker Prize
"Ong, Han",4,1968,M,Chinese (from Philippines),Asian,Philippines,Foreign,1,1984,"Philippines, United States",CA,Los Angeles,High School,High School Diploma,N,N/A,N,N/A,"MacArthur Fellowship, National Endowment for the Arts Fellowship, Guggenheim Fellowship"
"Ortega, Antonio",1,1903,M,Cuban-Spanish,Latinx,Spain,N/A,N/A,N/A,"Spain, Cuba, Venezuela",,,,,,,,,
"Otsuka, Julie",5,1962,F,Japanese,Asian,United States,Native,2,N/A,United States,"CA, NY",,Graduate,Master's,Y,Columbia University,N,N/A,"Guggenheim Fellowship, American Academy of Arts and Letters Award"
"Ozawa, Neiji",1,1886,M,Japanese,Asian,Japan,Foreign,1,1907,"Japan, United States",CA,,Undergraduate,Bachelor's,N,University of California Berkeley,N,N/A,
"Ozeki, Ruth",24,1956,F,Euro American-Japanese,Multiracial Asian-White,United States,Native,,N/A,"United States, Japan, Canada","NY, CT, MA","New Haven, Kyoto, New York City",Undergraduate,Bachelor's,N,Smith College,Y,Smith College,
"Pai, Hsien-yung",2,1937,M,Chinese,Asian,China,Foreign,1,1963,"Hong Kong (British territory), Taiwan, United States",CA,Santa Barbara,Graduate,Master's,N,University of Iowa,Y,University of California Santa Barbara,
"Paik, Nam June",1,1932,M,Korean,Asian,South Korea,Foreign,1,1964,"South Korea, Japan, Germany, United States",NY,New York City,Undergraduate,Bachelor's,N,University of Tokyo,N,N/A,"Golden Lion Venice Biennale, Kyoto Prize in Arts and Philosophy, Order of Cultural Merit from Korea"
"Pak, Greg",6,1968,M,Jewish-Korean,Multiracial Asian-Jewish,United States,Native,,N/A,,,,Graduate,Master's,Y,New York University,N,N/A,
"Palahniuk, Chuck",1,1962,M,Euro American,White,United States,Native,,N/A,,,,Undergraduate,Bachelor's,N,University of Oregon,N,N/A,
"Pan, Bertha Bay-Sa",1,,F,Chinese (from Taiwan),Asian,United States,Native,,N/A,"United States, Taiwan",NJ,Taipei,Graduate,Master's,Y,Columbia University,N,N/A,"Directors Guild Award Best Asian American Filmmaker, Urbanworld Grand Jury Award Best Director"
"Pan, Emily X. R.",1,,F,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,NY,New York City,Graduate,Master's,Y,New York University,Y,"New York University, The New School, Vermont College of Fine Arts",
"Paredes, Américo",2,1915,M,Mexican,Latinx,United States,Native,,N/A,United States,TX,,Graduate,PhD,N,University of Texas,Y,University of Texas Austin,
"Park, Chanwook",4,1963,M,Korean,Asian,South Korea,N/A,N/A,N/A,South Korea,,,Undergraduate,Bachelor's,N,Sogang University,N,N/A,"Grand Prix Cannes Film Festival, Bogwan Order of Cultural Merit, Eugwan Order of Cultural Merit, and more"
"Park, Daniel",1,,M,Korean,Asian,,,,,United States,CA,Los Angeles,,,,,,,
"Park, Ed",1,1970,M,Korean,Asian,United States,Native,,N/A,United States,NY,New York City,Graduate,Master's,Y,Columbia University,N,N/A,
"Park, Ishle Yi",1,,F,Korean,Asian,United States,Native,2,N/A,United States,"NY, HI",,Graduate,Master's,Y,New York University,N,N/A,
"Park, Patricia",1,,F,Korean,Asian,United States,Native,,N/A,United States,NY,New York City,Graduate,Master's,Y,Boston University,Y,American University,Fulbright Scholarship
"Park, Therese",1,1941,F,Korean,Asian,South Korea,Foreign,1,1966,"South Korea, France, United States",KS,Kansas City,Graduate,Master's,N,Ecole Normale de Musique de Paris,N,N/A,
"Park, Yeonmi",1,,F,Korean,Asian,North Korea,Foreign,1,,"North Korea, China, United States",NY,New York City,Undergraduate,Bachelor's,N,Columbia University,N,N/A,
"Parker, Alan",1,1944,M,English,White,England,N/A,N/A,N/A,England,,,High School,High School Diploma,N,Dame Alice Owen's School,N,N/A,BAFTA Academy Fellowship Award
"Pedroso, Regino",1,1896,M,African-Chinese,Multiracial Asian-Black,Cuba (Spanish colony),N/A,N/A,N/A,Cuba (Spanish colony),,,No High School,N/A,N,N/A,,,National Poetry Prize
"Pham, Andrew X.",5,1967,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,1977,"South Vietnam, United States","LA, CA",,Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,"Guggenheim Fellowship, Whiting Award"
"Phan, Aimee",3,1977,F,Vietnamese,Asian,United States,Native,,N/A,United States,CA,Berkeley,Graduate,Master's,Y,University of Iowa,Y,California College of the Arts,
"Phang, Jennifer",2,1975,F,Chinese (from Malaysia)-Vietnamese,Asian,United States,Native,,N/A,"United States, Malaysia",CA,,Graduate,Master's,Y,American Film Institute,N,N/A,Los Angeles Asian Pacific Film Festival Best Director Narrative Feature
Phililippine Folklore,3,,,Filipinx,Asian,Philippines,N/A,N/A,N/A,,,,,,,,,,
"Pigram, Dalisa",1,1977,F,Bardi-Filipinx-Malay-Yuwuru,Multiracial Asian-Native Australian,Australia,Foreign,N/A,N/A,Australia,,,,,,,N,N/A,
"Ping, Wang",1,1957,F,Chinese,Asian,China,Foreign,1,,,,,Graduate,PhD,N,New York University,Y,Macalester College,National Endowment for the Arts Fellowship
"Pirzada, Sahar",1,,F,Pakistani,Asian,,,,,"United States, Singapore",CA,"Los Angeles, Singapore",Graduate,Master's,N,University of California Berkeley,N,N/A,
"Plascencia, Salvador",1,1976,M,Mexican,Latinx,Mexico,Foreign,,,"Mexico, United States",CA,"El Monte, Los Angeles",Graduate,Master's,Y,Syracuse University,Y,"Pomona College, Pitzer College, University of California Riverside, University of California Davis, California Institute of the Arts","National Foundation for the Advancement of the Arts Award, Peter Nagoe Prize"
"Poeuv, Socheata",1,,F,Cambodian,Asian,,,,,,,,Graduate,Master's,N,Yale University,N,N/A,
"Pollock, Sharon",1,1936,F,Euro Canadian,White,Canada,N/A,N/A,N/A,Canada,N/A,,Some Undergraduate,High School Diploma,N,,N,N/A,"Officer of the Order of Canada, Canada Australia Literary Award"
"Poras, Marlo",1,1971,F,Euro American,White,United States,Native,,N/A,"Vietnam, United States","KY, MA",,Undergraduate,Bachelor's,N,Washington University in St. Louis,N,N/A,Guggenheim Fellowship
"Porter, Katherine Ann",1,1890,F,Euro American,White,United States,Native,,N/A,"United States, Mexico","IL, CO, TX","Chicago, Denver",No High School,None,N,,N,N/A,
"Pound, Ezra",4,1885,M,Euro American,White,United States,Native,,N/A,"United States, England, France, Italy ",PA,"London, Paris",Graduate,Master's,N,University of Pennsylvania,N,N/A,"Bollinger Prize, Academy of American Poets Fellowship"
"Powell, Patricia",1,1966,F,Jamaican,Black,Jamaica,Foreign,1,,United States,,,Graduate,Master's,Y,Brown University,Y,Mills College,
Psy,1,1977,M,Korean,Asian,South Korea,N/A,N/A,N/A,South Korea,,Seoul,Some Undergraduate,,N,,N,N/A,Okgwan Order of Cultural Merit
"Quan, Betty",2,,F,,,,,N/A,N/A,Canada,,,,,,University of British Columbia,,,
"Rachlin, Nahid",1,,F,Iranian,Asian,,,,,,,,Graduate,Master's,Y,"Columbia University, Stanford University",Y,New School,
"Ratner, Brett",1,1969,M,Euro American,White,United States,Native,,N/A,,,,Undergraduate,Bachelor's,N,New York University,N,N/A,
"Rau, Santha Rama",2,1923,F,Indian,Asian,India,Foreign,1,1941,"India, England, South Africa, United States",,,Undergraduate,Bachelor's,N,Wellesley College,,,
"Ravine, Jai Arun",1,,MG,Thai-Euro American,Multiracial Asian-White,,,,,United States,CA,Oakland,Graduate,Master's,Y,Naropa University,,,
"Realuyo, Bino",1,1967,M,Filipinx,Asian,Philippines,Foreign,,,"Philippines, United States",NY,"Manila, New York City",Graduate,Master's,N,Harvard University,Y,Fairleigh Dickinson University,
"Recorvits, Helen",1,,F,Polish-Russian-Ukrainian,White,United States,Native,3,N/A,United States,RI,,Graduate,Master's,N,,N,N/A,
"Reddi, Rishi",1,,F,Indian,Asian,India,Foreign,,,"United States, England","MA, CA, PA, KS","Cambridge, London, Los Angeles, Philadelphia, Wichita",Graduate,JD,Y,Northeastern University,N,N/A,
"Reimold, Orlando Schairer",1,,,,,,,,,,,,,,,,,,"National Endowment for the Arts Fellowship, Guggenheim Fellowship, Pushcart Prize, and more"
"Reiplinger, Rap",1,1950,M,Native Hawaiian,Pacific Islander,United States,Native,N/A,N/A,United States,HI,,High School,High School Diploma,N,Punahou Shool,N,N/A,Lifetime Achievement Award Cannes Film Festival
"Rekdal, Paisley",1,1970,F,Chinese-Norwegian,Multiracial Asian-White,United States,Native,,N/A,United States,"WA, UT",,Graduate,Master's,Y,University of Michigan,Y,University of Utah,
"Resnais, Alain",1,1922,M,French,White,France,N/A,N/A,N/A,,,,,,N,Institute for Advanced Cinematographic Studies,N,N/A,
"Revereza, Miko",1,1968,M,Filipinx,Asian,Philippines,Foreign,,1993,United States,CA,,Graduate,Master's,Y,Bard College,,,"San Diego Asian Film Festival Emerging Filmmaker Award, Sheffield Doc Fest Award, Vilcek Foundation Prize, and more"
"Revoyr, Nina",1,1969,F,Japanese-Polish,Multiracial Asian-White,Japan,Foreign,,,"Japan, United States","WI, CA",,Graduate,Master's,Y,Cornell University,N,N/A,
"Reyes, Norman",2,,M,Estonian-Filipinx,Multiracial Asian-White,,,,,,,,,,,,,,Kundiman Fellowship
"Reynolds, Kevin",1,1952,M,Euro American,White,United States,Native,,N/A,,,,Graduate,JD,N,Baylor University,N,N/A,
"Rhee, Margaret",2,1983,F,Korean,Asian,United States,Native,,N/A,United States,,,Graduate,PhD,N,UC Berkeley,Y,University of Buffalo,
"Richardson, Samuel",1,1689,M,English,White,England,N/A,N/A,N/A,England,,,No High School,None,N,Christ's Hospital Grammar School,N,N/A,
"Rizal, José",5,1861,M,Chinese-Filipinx,Asian,Philippines (Spanish colony),N/A,N/A,N/A,"Philippines (Spanish colony), Spain",,Madrid,Graduate,MD,N,Universidad Central de Madrid,N,N/A,
"Rno, Sung",1,,M,,,,,,,,,,Graduate,Master's,Y,Brown University,N,N/A,
"Roberts, Anjali",1,,F,Indian,Asian,,,,,"Australia, Italy",,Rome,,,,,,,"Lifetime Achievement Award from University of British Columbia, Punjab Arts Council Honor"
"Roberts, William",1,1913,M,,,United States,Native,,N/A,United States,CA,Los Angeles,Undergraduate,Bachelor's,N,University of Southern California,,,
"Robles, Al",1,1930,M,Filipinx,Asian,United States,Native,,N/A,United States,CA,San Francisco,,,,,N,N/A,"Pulitzer Prize, Grammy Award"
"Rode, Ajmer",1,1940,M,Indian,Asian,India,N/A,N/A,N/A,"India, Canada",N/A,Vancouver,Graduate,Master's,N,University of Waterloo,Y,,
"Rodgers, Richard",4,1902,M,Jewish,Jewish,United States,Native,,N/A,United States,"NY, CA","New York City, Los Angeles",Undergraduate,Bachelor's,N,Columbia University,N,N/A,National Endowment for the Humanities Fellowship
"Rodrigues, Darlene",2,,,Filipinx,Asian,United States,Native,2,N/A,United States,HI,,,,,,Y,University of Hawai'i Manoa,Fulbright Fellowship
"Rodriguez, Richard",4,1944,M,Mexican,Latinx,United States,Native,,N/A,United States,CA,,Graduate,Master's,N,Columbia University,N,N/A,
"Roffé, Reina",1,1951,F,Argentine,Latinx,Argentina,N/A,N/A,N/A,"Argentina, Spain",,,,,,,,,
"Rohmer, Sax",1,1883,M,English,White,England,N/A,N/A,N/A,"England, United States",NY,New York City,,,,,,,
"Roley, Brian Ascalon",6,,M,Euro American-Filipinx,Multiracial Asian-White,United States,Native,,N/A,United States,"CA, OH",,Graduate,JD,Y,University of California Los Angeles,Y,Miami University of Ohio,
"Rony, Fatimah Tobing",1,,F,Indonesian,Asian,,,,,,,,Graduate,PhD,Y,Yale University,Y,University of California Irvine,
"Rosca, Ninotchka",1,1946,F,Filipinx,Asian,Philippines,Foreign,1,,"Philippines, United States",NY,New York City,,,,,N,N/A,
"Sai, Yōichi",1,1949,M,Japanese-Korean,Asian,Japan,N/A,N/A,N/A,Japan,N/A,,High School,High School Diploma,N,Tokyo Korean High School,,,
"Sakamoto, Kerri",1,1960,F,Japanese,Asian,Canada,N/A,N/A,N/A,"Canada, United States",NY,New York City,Graduate,Master's,Y,New York University,N,N/A,
"San, Kim",1,,M,Korean,Asian,,,N/A,N/A,,,,,,,,,,"PEN America Award for Poetry, National Book Award"
"Sakiyama, Tami ",1,1954,F,Ryukyuan,Asian,Japan,N/A,N/A,N/A,Japan,,,,,,University of the Ryukyus,,,Kyushu Geijutsusai Bungaku Prize
"Santoli, Al",1,,M,,,,,,,,,,,,,,,,"Guggenheim Fellowship, Fulbright Fellowship"
"Santos Perez, Craig",1,,M,Chamoru,Pacific Islander,Guam (United States territory),Foreign,1,1995,"Guam (United States territory), United States","CA, HI",,Graduate,PhD,Y,UC Berkeley,Y,University of Hawai'i Manoa,
"Santos, Bienvenido",10,1911,M,Filipinx,Asian,Philippines (United States territory),Foreign,1,1941,"Philippines (United States territory), United States",,Manila,Graduate,Master's,N,University of Illinois,Y,Wichita State University,
"Santos, Bienvenido N.",1,,M,Filipinx,Asian,,,,,,,,Graduate,Master's,,,,,Caldecott Award
"Sato, Junya",1,1932,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,,,,,,,,"Award of the Japanese Academy, Kinema Junpo Award, Montreal World Film Festival Prize, and more"
"Saund, Dalip Singh",2,1899,M,Indian,Asian,India (British colony),Foreign,1,,"India (British colony), United States",CA,,Graduate,PhD,N,University of California Berkeley,N,N/A,
"Say, Allen",2,1937,M,Japanese-Korean,Asian,Japan,Foreign,1.5,1943,"Japan, United States","CA, OR",,Some Undergraduate,High School Diploma,N,Citrus Union High School,N,N/A,
"Scheinert, Daniel",1,1987,M,,,United States,Native,,,United States,AL,,Undergraduate,Bachelor's,N,Emerson College,N,N/A,"Alfred I. DuPont Award, American Association for the Advancement of Science Kavli Science Journalism Award"
"Schönberg, Claude-Michel",3,1944,M,French,White,France,N/A,N/A,N/A,,,,,,,,N,N/A,
"Schwartz, Howard",1,,M,,,,,,,,,,,,,,,,
"Schwartz, Karen",1,,,,,,,,,,,,,,,,,,BAFTA Fellowship
"Schwartz, Stephen",1,,,,,,,,,,,,,,,,,,
"Scott, Ridley",3,1937,M,English,White,England,Foreign,1,,"England, United States",CA,Los Angeles,Graduate,Master's,N,Royal College of Art,N,N/A,
"See, Lisa",2,1955,F,Chinese-Euro American,Multiracial Asian-White,France,Foreign,,,United States,CA,Los Angeles,Undergraduate,Bachelor's,N,Loyola Marymount University,N,N/A,
"Selasi, Taiye",1,1980,F,Ghanaian/Nigerian,Black,UK,Foreign,,,"England, Ghana, United States, Italy, Germany",MA,"Accra, Boston, Rome, Berlin",Graduate,Master's ,N,Oxford University,,,
"Selvadurai, Shyam",2,1965,M,Sinhalese-Tamil (from Sri Lanka),Asian,Ceylon (present-day Sri Lanka),N/A,N/A,N/A,"Ceylon (present-day Sri Lanka), Canada",,,Graduate,Master's,Y,University of British Columbia,Y,Humber College,
"Semitsu, Junichi",1,,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,,Graduate,JD,N,Stanford University,Y,University of San Diego,
"Serisawa, Ikuo",1,1912,M,Japanese,Asian,Japan,Foreign,1.5,1918,"Japan, United States",CA,Long Beach,,,,,,,
"Serisawa, Sueo",1,1910,M,Japanese,Asian,Japan,Foreign,1.5,1918,"Japan, United States","CA, IL, NY","Long Beach, Los Angeles, Chicago, New York City",Undergraduate,,N,Otis Art Institute,T,"Kann Institute of Art, Scripps College",
"Seth, Vikram",1,1952,M,Indian,Asian,India,Foreign,1,,"India, England, United States, China",CA,"Calcutta, London, New Delhi",Graduate,Master's,N,Stanford University,N,N/A,
"Shakespeare, William",1,1564,M,English,White,England,N/A,N/A,N/A,England,,,,None,N,N/A,N,N/A,
"Shaughnessy, Brenda",1,1970,F,Irish-Okinawan,Multiracial Asian-White,Japan,Foreign,1.5,,"Japan, United States","NJ, CA",,Graduate,Master's,Y,Columbia University,Y,Rutgers University Newark,
"Shaw, Frank",1,,,,,,,,,,,,,,,,,,
"Shen, Parry",3,1973,M,Chinese,Asian,United States,Native,2,,United States,"CA, NY",,Undergraduate,Bachelor's,N,State University of New York Buffalo,N,N/A,
"Shigekuni, Julie",1,,F,Japanese,Asian,United States,Native,,N/A,"Japan, United States","CA, NY, NM",Los Angeles,Graduate,Master's,Y,Sarah Lawrence College,Y,University of New Mexico,
"Shimano, Eddie",1,1911,M,Japanese,Asian,United States,Native,,N/A,United States,"WA, MA, IA, CA, NY","Seattle, Boston, San Francisco, New York City",Undergraduate,Bachelor's,,,N,N/A,
"Shin, Rob",1,,,,,,,,,,,,,,,,,,Canadian Screen Award
"Shiomi, Rick",2,1947,M,Japanese,Asian,Canada,Foreign,1,,"Canada, United States","CA, NY, MN","San Francisco, New York City",Graduate,Master's,N,Simon Fraser University,N,N/A,
"Shraya, Vivek",1,1981,TF,Indian,Asian,Canada,N/A,N/A,N/A,Canada,,Edmonton,Graduate,Master's ,N,York University,Y,University of Calgary,National Endowment for the Arts Fellowship
"Shum, Mina",2,1966,F,Chinese (from Hong Kong),Asian,Hong Kong (British territory),N/A,N/A,N/A,Canada,,,Undergraduate,Bachelor's,N,University of British Columbia,N,N/A,
"Sidhwa, Bapsi",2,1938,F,Pakistani,Asian,British India (present-day Pakistan),Foreign,1,1983,"Pakistan, United States",TX,,Undergraduate,Bachelor's,N,Kinnaird College for Women,Y,"Columbia University, Rice University, Brandeis University, and more",
"Sieg, Gerald Chan",1,1909,F,Chinese,Asian,United States,Native,2,N/A,United States,GA,Savannah,High School,High School Diploma,N,Savannah High School,N,N/A,National Endowment for the Arts Fellowship
"Silliman, Jael",1,1955,F,Jewish,Jewish,India,Foreign,1,,"India, United States","IA, NY",,Graduate,PhD,N,Columbia University,Y,,
"Silliman, Ron",1,1946,M,Euro American,White,United States,Native,,N/A,United States,"WA, CA, PA",,Some Undergraduate,,N,,Y,University of Pennsylvania,
"Sin, Tong-hyŏk",1,,M,Korean,Asian,North Korea,N/A,N/A,N/A,"North Korea, South Korea",,,,,,,,,
"Singh, Saint Nihal",1,1884,M,Indian,Asian,India,Foreign,1,1906,"United States, Canada, Japan, England","IL, NY","Vancouver, Chicago, New York City",Some Undergraduate,,,,N,N/A,
"Singh, Sonia",3,,F,Indian,Asian,United States,Native,,N/A,,,,Undergraduate,Bachelor's,N,California State University Fullerton,N,N/A,"MacArthur Fellowship, National Humanities Medal"
"Siu, Kam Wen",1,1950,M,Chinese,Asian,China,Foreign,1,1985,"China, Peru, United States",HI,Lima,Undergraduate,Bachelor's,N,San Marcos University,N,N/A,
"Smith, Anna Deavere",2,1950,F,African American,Black,United States,Native,,N/A,United States,MD,,Graduate,Master's,Y,American Conservatory Theater,Y,,"Pulitzer Prize, American Book Award, Bollingen Prize"
Smithsonian Asian Pacific American Center/Secret Identities Collective,1,,N/A,,,,,,,,,,,,,,,,
"Snyder, Gary",1,1930,M,Euro American,White,United States,Native,,N/A,"United States, Japan","CA, OR",San Francisco,Undergraduate,Bachelor's,N,Reed College,Y,,"Pulitzer Prize, American Book Award, Bollingen Prize, and more"
"Sommers, Stephen",1,1962,M,Euro American,White,United States,Native,,N/A,,,,Graduate,Master's,,University of Southern California,N,N/A,
"Son, Diana",1,1965,F,Korean,Asian,United States,Native,2,N/A,United States,"PA, DE, NY",New York City,Undergraduate,Bachelor's,N,New York University,N,N/A,"Pushcart Prize, Hawai'i Award for Literature, Eliot Cades Award, and more"
"Sone, Monica",6,1919,F,Japanese,Asian,United States,Native,2,N/A,United States,"WA, IL, OH","Seattle, Chicago",Graduate,Master's,N,Case Western Reserve University,N,N/A,"Nobel Prize, Pulitzer Prize"
"Song, Cathy",3,1955,F,Chinese-Korean,Asian,United States,Native,2,N/A,United States,HI,,Graduate,Master's,Y,Boston College,N,N/A,"Oscar Best Actress, Critics Choice Award Best Actress, and more"
"Steinbeck, John",1,1902,M,Euro American,White,United States,Native,,N/A,United States,"CA, NY",New York City,Some Undergraduate,High School Diploma,N,Salinas High School,N,N/A,Academy Award
"Stone, Emma",1,1988,F,Swedish,White,United States,Native,3,N/A,United States,"AZ, CA","Phoenix, Los Angeles",Some High School,None,N,N/A,N,N/A,
"Stone, Oliver",1,1946,M,Euro American,White,United States,Native,,N/A,"United States, France","NY, CT",New York City,Undergraduate,Bachelor's,N,New York University,N,N/A,
"Street, Julia Montgomery",1,,F,,,United States,Native,,N/A,United States,NC,,Undergraduate,Bachelor's,N,North Carolina College for Women,,,
"Sukthankar, Ashwini",1,1974,F,Indian,Asian,India,,,,"India, Papua New Guinea",,"New Delhi, Mumbai",Graduate,JD,N,Harvard University,,Yale,
