Title,Instances_of_Study,Author_Name,2_Author_Name,3_Author_Name,4_Author_Name,Publication_Year,Genre,Publisher,Text_Awards,NYT_Bestseller
The Grass Roof,4,"Kang, Younghill",,,,1931,Prose Nonfiction,Scribner,,N/A
The Hanging on Union Square,1,"Tsiang, H. T.",,,,1935,Novel,self-published,,N
The Holder of the World,1,"Mukherjee, Bharati",,,,1993,Novel,Alfred A. Knopf,,N
The House on Mango Street,2,"Cisneros, Sandra",,,,1983,Novel,Arte Público Press,American Book Award,N
The Incorporation of Eric Chung,1,"Lo, Steven C.",,,,1989,Novel,Algonquin Books,,N
The Inheritance of Loss,2,"Desai, Kiran",,,,2005,Novel,Atlantic Monthly Press,"Booker Prize, National Book Critics Circle Award",N
The Innocent,1,"Kim, Richard E.",,,,1968,Novel,Houghton Mifflin,,N
The Interpreter,4,"Kim, Suki",,,,2003,Novel,Picador,PEN Open Book Award,N
The Invisible Thread,1,"Uchida, Yoshiko",,,,1991,Prose Nonfiction,J Messner,,N/A
The Jade Peony,2,"Choy, Wayson",,,,1995,Novel,Douglas & McIntyre Ltd.,,N
The Joy Luck Club,20,"Tan, Amy",,,,1989,Novel,G. P. Putnam's Sons,,Y
The Joy Luck Club,1,"Wang, Wayne",,,,1993,Film,Buena Vista Pictures,"Casting Society of America Best Casting for Feature Film, Gold Generation Award",N/A
The Jungle Book,1,"Sommers, Stephen",,,,1994,Film,Walt Disney Pictures,,N/A
The Kappa Child,2,"Goto, Hiromi",,,,2001,Novel,Red Deer Press,,N
The Kibei Nisei [山城正雄『帰米二世―解体していく「日本人」] ,1,"Yamashiro, Masao",,,,1995,Prose Nonfiction,Gogatsu Shobo,,N/A
The Killing Fields,1,"Joffé, Roland",,,,1984,Film,Columbia-EMI-Warner Distributions,"Academy Award, BAFTA Awards",N/A
The Kitchen God's Wife,2,"Tan, Amy",,,,1991,Novel,G. P. Putnam's Sons,,Y
The Komagata Maru Incident,1,"Pollock, Sharon",,,,1978,Drama,Vancouver Playhouse,,N/A
The Land I Lost: Adventures of a Boy in Vietnam,1,"Huynh, Quang Nhuong",,,,1982,Prose Nonfiction,Harper,,N/A
The Land of the Golden Mountain,1,"Lee, Chin Yang",,,,1967,Novel,Meredith Press,,N
The Last of Her Kind,1,"Nunez, Sigrid",,,,2005,Novel,FSG,,N
The Ledge between the Streams,1,"Mehta, Ved",,,,1984,Prose Nonfiction,Norton,,N/A
The Living End,1,"Araki, Gregg",,,,1992,Film,October Films,,N/A
The Lone Ranger and Tonto Fistfight in Heaven,1,"Alexie, Sherman",,,,1993,Short Story(ies),Perennial,Hemingway Foundation/PEN Award,N
The Lost Garden,1,"Yep, Laurence",,,,1990,Prose Nonfiction,Simon & Schuster,,N/A
The Lotus and the Storm,1,"Cao, Lan",,,,2014,Novel,Viking Press,,N
The Love Wife,2,"Jen, Gish",,,,2004,Novel,Knopf,,N
The Lowland,1,"Lahiri, Jhumpa",,,,2013,Novel,Knopf / Random House,,Y
The Magical Life of Long Tack Sam,1,"Fleming, Ann Marie",,,,2007,Graphic Narrative,Riverhead Books,,N/A
The Man in the High Castle,1,"Dick, Philip K.",,,,1962,Novel,G.P. Putnam's Sons,Hugo Award,N
The Man Who (Thought He) Looked Like Robert Taylor,3,"Santos, Bienvenido",,,,1983,Novel,New Day Publishers,,N
The Manchurian Candidate,2,"Frankenheimer, John",,,,1962,Film,United Artists,"Golden Globe Award, National Board of Review Award, Producers Guild of America Award",N/A
The Marrow of Tradition,1,"Chesnutt, Charles",,,,1901,Novel,"Houghton, Mifflin, and Co.",,N/A
The Martian,1,"Scott, Ridley",,,,2015,Film,20th Century Fox,"Golden Globe, Hugo Award, AFI Award, and more",N/A
The Martyred,2,"Kim, Richard E.",,,,1964,Novel,George Braziller,,Y
The Melting Pot,1,"Zangwill, Israel",,,,1908,Drama,Broadway,,N/A
The Merchant and The Alchemist's Gate,1,"Chiang, Ted",,,,2007,Novel,Subterranean Press,,N
The Middleman and Other Stories,2,"Mukherjee, Bharati",,,,1988,Short Story(ies),Grove,National Book Critics Circle Award,N
The Mikado,1,"Gilbert, Sir William Schwenck","Sullivan, Arthur",,,1885,Music,Savoy Theatre,,N/A
The Mindy Project,1,"Kaling, Mindy",,,,2012-2017,Television,Fox,"Critics' Choice Television Award Most Exciting New Series, Gracie Award Outstanding Ensemble Cast Comedy",N/A
The Mississippi Chinese,1,"Loewen, James W.",,,,1971,Prose Nonfiction,Harvard University Press,,N/A
The Mistress of Spices,3,"Divakaruni, Chitra Banerjee",,,,1997,Novel,Doubleday,,N
The Namesake,10,"Lahiri, Jhumpa",,,,2003,Novel,Houghton Mifflin,,Y
The Nanjing Massacre: Poems,1,"Lum, Wing Tek",,,,2012,Poetry,Bamboo Ridge Press,Eliot Cades Award for Literature,N/A
The New Sun,1,"Yashima, Taro",,,,1943,Prose Nonfiction,Henry Holt and Company,,N/A
The Night My Mother Met Bruce Lee,1,"Rekdal, Paisley",,,,2000,Prose Nonfiction,Pantheon Books,Village Voice Writers on the Verge Award,N/A
The Oath of the Sword,1,"Shaw, Frank",,,,1914,Film,Japanese American Film Company,,N/A
The Open Boat,1,"Hongo, Garrett",,,,1993,Anthology,Anchor,,N/A
The Opposite of Fate,1,"Tan, Amy",,,,2003,Prose Nonfiction,G. P. Putnam's Sons,,N/A
The Pagoda,1,"Powell, Patricia",,,,1998,Novel,Alfred A. Knopf,,N
The People of Paper,1,"Plascencia, Salvador",,,,2005,Novel,McSweeney's,,N
The People's Republic of Desire,1,"Wang, Annie",,,,2006,Novel,Harper,,N
"The Phoenix Gone, The Terrace Empty",1,"Chin, Marilyn",,,,1994,Poetry,Milkweed Editions,,N/A
The Piano Lesson,1,"Wilson, August",,,,1987,Drama,Yale Repertory Theater,Pulitzer Prize,N/A
The Praying Man,1,"Santos, Bienvenido",,,,1982,Novel,New Day Publishers,,N
The Promised Land,1,"Antin, Mary",,,,1912,Prose Nonfiction,Houghton Mifflin,,N/A
The Rag Doll Plagues,1,"Morales, Alejandro",,,,1992,Novel,Arte Público Press,,N
The Rain Ascends,1,"Kogawa, Joy",,,,1995,Novel,Knopf,,N
The Reeducation of Cherry Truong,1,"Phan, Aimee",,,,2012,Novel,St. Martin's Press,,N
The Reluctant Fundamentalist,2,"Hamid, Mohsin",,,,2007,Novel,Harcourt,"Asian American Literary Award, Anisfield-Wold Book Award, Ambassador Book Award, and more",Y
The Rice-Sprout Song,1,"Chang, Eileen",,,,1955,Novel,Scribner,,N
The Rose of Manila,1,,,,,1934,,,,
The Rouge of the North,2,"Chang, Eileen",,,,1967,Novel,Cassell and Company,,N
The Sacred Willow,2,"Elliott, Duong Van Mai",,,,1999,Prose Nonfiction,Oxford University Press,,N/A
The Salt-Wind: Ka Makani Pa'akai,1,"McDougall, Brandy Nālani",,,,,Poetry,Kuleana 'Ōiwi Press,,N/A
The Scent of Green Papaya,1,"Tran, Anh Hung",,,,1993,Film,Président Films,"Cannes Film Festival Award, César Award",
The Scent of the Gods,1,"Cheong, Fiona",,,,1991,Novel,Norton,,N
The Shadow Hero,1,"Yang, Gene Luen",,,,2014,Graphic Narrative,First Second Books,,N/A
The Shadow Lines,1,"Ghosh, Amitav",,,,1988,Novel,Ravi Dayal Publishers,"Sahitya Akademi Award, Ananda Puraskar",N
The Sign Painter,1,"Say, Allen",,,,2000,Children's Book,Houghton Mifflin,,N/A
The Souls of Yellow Folk,1,"Yang, Wesley",,,,2018,Prose Nonfiction,W. W. Norton,,N/A
The Sound and the Fury,1,"Faulkner, William",,,,1929,Novel,Cape & Smith Inc.,,N
The Sound of a Voice,1,"Hwang, David Henry",,,,1983,Drama,Joseph Papp Public Theater,,N/A
The Spook Who Sat by the Door,1,"Greenlee, Sam",,,,1969,Novel,Richard W. Baron Publishing Company,,N
The Strangeness of Beauty,1,"Minatoya, Lydia",,,,1999,Novel,W. W. Norton & Company,,N
The Submission of Rose Moy,1,"Li, Gladys Ling-Ai",,,,1928,Drama,Hawaii Quill Magazine,,N/A
The Surrendered,2,"Lee, Chang-rae",,,,2010,Novel,Riverhead Books,,N
The Sympathizer,1,"Nguyen, Viet Thanh",,,,2015,Novel,Grove / Atlantic,"Pulitzer Prize, Carnegie Medal for Excellence in Fiction, Asian/Pacific American Award, and more",N
The Tale of Kieu [Đoạn Trường Tân Thanh/Truyện Kiều],1,"Nguyen, Du",,,,1820,Poetry,,,N/A
The Temperature of this Water,1,"Park, Ishle Yi",,,,2003,Poetry,Kaya Press,PEN Open Book Award,N/A
The Tiger Ladies,1,"Koul, Sudha",,,,2002,Prose Nonfiction,Beacon,,N/A
The Tong-Man,1,"Worthington, William",,,,1919,Film,Robertson-Cole Distributing Company,,N/A
The Totally Awesome Hulk,1,"Pak, Greg",,,,2015-2017,Graphic Narrative,Marvel Comics,,N/A
The Town,1,"Faulkner, William",,,,1957,Novel,Random House,,Y
The Umbrella Country,1,"Realuyo, Bino",,,,1999,Novel,Ballantine,,N
The Unwanted,2,"Nguyen, Kien",,,,2001,Prose Nonfiction,"Little, Brown",,N/A
The Village Bride of Beverly Hills,1,"Daswani, Kavita",,,,2004,Novel,Plume,,N
The Voice,1,"de Mol Jr., John ",,,,2011,Television,NBC,"Emmy Award, Critics' Choice Television Award, Producers Guild of America Award, and more",N/A
The Walleye Kid: The Musical,1,"Kase, Sundraya","Shiomi, Rick",,,2005,Drama,Theater Mu,,N/A
The Wandering Ghost,1,"Limón, Martin",,,,2007,Novel,Soho Press,,N
The War on Normal People,1,"Yang, Andrew",,,,2018,Prose Nonfiction,Hachette Books,,N/A
The Way to My Father's Village,1,"Fung, Richard",,,,1988,Film,,,N/A
The Way to Rainy Mountain,1,"Momaday, N. Scott",,,,1969,Prose Nonfiction,University of New Mexico Press,,N/A
The Wedded Husband,1,"Hong, Shen",,,,1919,Drama,Ohio State University,,N/A
The Wedding Banquet [喜宴],2,"Lee, Ang",,,,1993,Film,Central Motion Picture Corporation/Smauel Goldwyn Company,"Golden Bear Berlin International Film Festival, GLAAD Media Award, Golden Horse Award, and more",N/A
The Woman Warrior,43,"Kingston, Maxine Hong",,,,1976,Prose Nonfiction,Alfred A. Knopf,National Book Critics Circle Award,N/A
The Women of Brewster Street,1,"Naylor, Gloria",,,,1982,Novel,Viking,"National Book Award, American Book Award",N
The Wooing of Wistaria,1,"Eaton, Winnifred",,,,1902,Novel,Harper and Brothers,,N/A
The Writer as Migrant,1,"Jin, Ha",,,,2008,Prose Nonfiction,University of Chicago Press,,N/A
The Year of Finding Memory,1,"Bates, Judy Fong",,,,2010,Prose Nonfiction,Penguin Random House Canada,,N
The Year of the Dog,1,"Lin, Grace",,,,2006,Novel,"Little, Brown",,N
The Year of the Dragon,9,"Chin, Frank",,,,1974,Drama,The American Place Theatre,,N/A
The Year of the Rat,1,"Lin, Grace",,,,2007,Novel,"Little, Brown",,N
The Yellow Jacket,1,"Hazelton, George C.","Benrimo, Joseph Harry",,,1912,Drama,Fulton Theatre,,N/A
Things That Must Not Be Forgotten,1,"Kwan, Michael David",,,,2000,Prose Nonfiction,Soho Press,,N/A
This Is a Bust,1,"Lin, Ed",,,,2007,Novel,Kaya Press,Asian American Literary Award,N
This Is Paradise,1,"Kahakauwila, Kristiana",,,,2013,Short Story(ies),Hogarth,,N
This Place Called Absence,1,"Kwa, Lydia",,,,2000,Novel,Kensington,,N
Thousand Pieces of Gold,4,"McCunn, Ruthanne Lum",,,,1981,Novel,Beacon Press,,N
Through the Arc of the Rain Forest,5,"Yamashita, Karen Tei",,,,1990,Novel,Coffee House Press,American Book Award,N
Tidying Up with Marie Kondo,1,"Kondo, Marie",,,,2019,Television,Netflix,,N/A
Tina's Mouth,1,"Kashyap, Keshni","Araki, Mari",,,2011,Graphic Narrative,Houghton Mifflin,,N/A
To Bear Any Burden,1,"Santoli, Al",,,,,Prose Nonfiction,Dutton,,N/A
Traces of a Journey,1,"Fujioka, Shiro",,,,1956,Prose Nonfiction,Rafu Shimpo (newspaper),,N/A
Transgressions,1,"Gaffney, Stuart",,,,2002,Film,,,N/A
Trappings of Transhood,1,"Hurwitz, Elise","Lee, Christopher",,,1997,Film,Gender Fuck Fuck Gender Productions,,N/A
Travels in French Indo-China,1,"Hervey, Harry",,,,1928,,Thornton Butterworth,,
trespasses,1,"Tuntha-Obas, Padcha",,,,2006,Poetry,O Books,,N/A
Tripmaster Monkey,14,"Kingston, Maxine Hong",,,,1989,Novel,Alfred A. Knopf,PEN West Award,N
Tropic of Orange,9,"Yamashita, Karen Tei",,,,1997,Novel,Coffee House Press,,N
Turning Japanese,5,"Mura, David",,,,1991,Prose Nonfiction,Atlantic Monthly Press,,N/A
"Twilight: Los Angeles, 1992",2,"Smith, Anna Deavere",,,,1994,Drama,Cort Theater,Drama Desk Award,N/A
Two Men of Sandy Bar,1,"Harte, Bret",,,,1876,Drama,John R. Osgood and Co.,,N/A
Typical American,5,"Jen, Gish",,,,1991,Novel,Houghton Mifflin,,N
Uhuru Street,1,"Vassanji, M. G.",,,,1992,Short Story(ies),McClelland & Stewart,,N
Unaccustomed Earth,4,"Lahiri, Jhumpa",,,,2008,Short Story(ies),Alfred A. Knopf,Asian American Literary Award,Y
Unbearable Heart,1,"Hahn, Kimiko",,,,1995,Poetry,Kaya Press,American Book Award,N/A
Unbreakable Kimmy Schmidt,1,"Fey, Tina",,,,2015-2019,Television,Netflix,,N/A
Under Flag,2,"Kim, Myung Mi",,,,1991,Poetry,Kelsey St. Press,,N/A
Vedi,1,"Mehta, Ved",,,,1982,Prose Nonfiction,Oxford University Press,,N/A
Veils,1,"Rachlin, Nahid",,,,1992,Short Story(ies),City Light Books,,N
Viaje a Itaca,1,"Siu, Kam Wen",,,,2004,Novel,Diana,,N
Video,2,"Nair, Meera",,,,2002,Short Story(ies),Pantheon,Asian American Literary Award,N
Video Nights in Kathmandu,1,"Iyer, Pico",,,,1988,Prose Nonfiction,Knopf,,N/A
Vietnam: A Psychic Guide,1,"Vu, Chi",,,,2003,Short Story(ies)/Drama,North Melbourne Arts House,,N/A
Volcano: A Memoir of Hawai'i,1,"Hongo, Garrett",,,,1995,Prose Nonfiction,Alfred A. Knopf,,N/A
Vu Dieu Cua Loai Cong,1,"Hang, Tran Dieu",,,,1984,,Ngoc Lu,,
Waiting,1,"Jin, Ha",,,,1999,Novel,Pantheon,"National Book Award, PEN/Faulkner Award",N
Walls,3,"Barroga, Jeannie",,,,1989,Drama,Asian American Theater Company,,N/A
War Trash,2,"Jin, Ha",,,,2004,Novel,Pantheon,PEN/Faulkner Award,N
Wave Twisters,1,"Henry, Eric","Garon, Syd",,,2001,Film,Thud Rumble,SXSW Film Festival Audience Award,N/A
Way of the Dragon or Return of the Dragon,1,"Lee, Bruce",,,,1972,Film,Golden Harvest,,N/A
We Should Never Meet,2,"Phan, Aimee",,,,2004,Short Story(ies),Picador,,N
West 32nd,1,"Kang, Michael",,,,2007,Film,CJ Entertainment,,N/A
What on Earth Happened During That Time?/While We Were Out,1,"Lee, Ho Baek",,,,2000,Graphic Narrative,Jaimimiage Publishing,,N/A
What the Hell for You Left Your Heart in San Francisco,4,"Santos, Bienvenido",,,,1987,Novel,New Day Publishers,,N
What We Were Promised,1,"Tan, Lucy",,,,2018,Novel,"Little, Brown",,N
When Broken Glass Floats,3,"Him, Chanrithy",,,,2000,Prose Nonfiction,W. W. Norton & Co.,,N/A
When Heaven and Earth Changed Places,3,"Hayslip, Le Ly",,,,1989,Prose Nonfiction,Doubleday,,N/A
When I Was a Boy in China,2,"Lee, Yan Phou",,,,1887,Prose Nonfiction,D. Lothrop & Company,,N/A
When I Was a Boy in Korea,1,"New, Ilhan",,,,1928,Prose Nonfiction,Three Continents Press,,N/A
When the Emperor Was Divine,4,"Otsuka, Julie",,,,2002,Novel,Anchor,Asian American Literary Award,N
When the Rainbow Goddess Wept,2,"Manguerra-Brainard, Cecilia",,,,1994,Novel,Dutton,,N
Where the Body Meets Memory,1,"Mura, David",,,,1996,Prose Nonfiction,Anchor,,N/A
White Elephants,1,"Vazirani, Reetika",,,,1996,Poetry,Beacon Press,,N/A
Who Am I?,1,"Tuan, Yi-Fu",,,,1999,Prose Nonfiction,University of Wisconsin Press,,N/A
Who Killed Vincent Chin?,2,"Choy, Christine","Tajima-Pena, Renee",,,1987,Film,PBS,"Sundance Film Festival Grand Jury Prize, Hawaii International Film Festival Award, International Documentary Association Award",N/A
"Who's Going to Pay for these Donuts, Anyway?",1,"Tanaka, Janice",,,,1992,Film,Fo Fum Productions,,N/A
Who's Hu,1,"Namioka, Lensey",,,,1980,Novel,Vanguard Press,,N
Wife,1,"Mukherjee, Bharati",,,,1975,Novel,Knopf,,N
Wild Meat and the Bully Burgers,4,"Yamanaka, Lois-Ann",,,,1996,Novel,"Farrar, Strauss & Giroux",,N
"Without You, There Is No Us: Undercover among the Songs of North Korean's Elite",1,"Kim, Suki",,,,2015,Prose Nonfiction,Crown,,N/A
Woman from Hiroshima,1,"Mori, Toshio",,,,1978,Novel,Isthmus Press,,N
World War Hulk,1,"Pak, Greg",,,,2007,Graphic Narrative,Marvel Comics,,N/A
Wrack and Ruin,1,"Lee, Don",,,,2008,Novel,W. W. Norton & Co,,N
Xich lo,1,"Hung, Tran Anh",,,,1995,Film,,,N/A
Yankee Dawg You Die,1,"Gotanda, Philip Kan",,,,1988,Drama,Berkeley Repertory Theatre,,N/A
Year of Impossible Goodbyes,1,"Choi, Sook Nyul",,,,1991,Novel,Dell,,N
Year of the Dragon,1,"Cimino, Michael",,,,1985,Film,MGM/UA Entertainment,,N/A
Yekl: A Tale of the New York Ghetto,1,"Cahan, Abraham",,,,1896,Novel,D. Appleton and Co.,,N/A
Yellow Fever,1,"Shiomi, Rick",,,,1982,Drama,Asian American Theater Company,,N/A
Yellowcaust: A Patriot Act,2,"Hamamoto, Darrell",,,,2003,Film,,,N/A
"Yokohama, California",2,"Mori, Toshio",,,,1949,Short Story(ies),Caxton Printers,,N
You for Me for You,1,"Chung, Mia",,,,2012,Drama,,,N/A
Zamboanga,1,"de Castro, Eduardo",,,,1937,Film,Filippine Films,,N/A
Zoot Suit,1,"Valdez, Luis",,,,1979,Drama,Winter Garden Theatre,,N/A
